x,u,rho
0.0,0.055709720268032475,1.0
0.0025,0.05571592376307714,1.00375
0.005,0.05573453499834173,1.0075
0.0075,0.05576555875135427,1.01125
0.01,0.05580900382700916,1.015
0.0125,0.05586488305871816,1.01875
0.015,0.05593321331074073,1.0225
0.0175,0.05601401548169135,1.02625
0.02,0.05610731450922174,1.03
0.0225,0.05621313937587636,1.03375
0.025,0.05633152311611913,1.0375
0.0275,0.05646250282453032,1.04125
0.03,0.056606119665172115,1.045
0.0325,0.05676241888212201,1.04875
0.035,0.056931449811173006,1.0525
0.0375,0.057113265892700014,1.05625
0.04,0.05730792468569195,1.06
0.0425,0.05751548788294919,1.06375
0.045,0.05773602132744611,1.0675
0.0475,0.057969595029858836,1.07125
0.05,0.05821628318725811,1.075
0.0525,0.05847616420296769,1.07875
0.055,0.05874932070758852,1.0825
0.0575,0.059035839581189194,1.08625
0.06,0.05933581197666335,1.09
0.0625,0.0596493333442545,1.09375
0.065,0.05997650345724932,1.0975
0.0675,0.06031742643884003,1.10125
0.07,0.06067221079015682,1.105
0.0725,0.06104096941947148,1.10875
0.075,0.06142381967257285,1.1125
0.0775,0.06182088336431564,1.11625
0.08,0.062232286811343136,1.12
0.0825,0.06265816086598523,1.12375
0.085,0.06309864095133293,1.1275
0.0875,0.06355386709748964,1.13125
0.09,0.0640239839790012,1.135
0.0925,0.06450914095346559,1.13875
0.095,0.06500949210132106,1.1425
0.0975,0.0655251962668155,1.14625
0.1,0.06605641710015778,1.15
0.1025,0.0666033231008493,1.15375
0.105,0.06716608766220114,1.1575
0.1075,0.06774488911703921,1.16125
0.11,0.06833991078458453,1.165
0.1125,0.0689513410185033,1.16875
0.115,0.06957937325615986,1.1725
0.1175,0.07022420606903082,1.17625
0.12,0.07088604321431559,1.18
0.1225,0.07156509368780659,1.18375
0.125,0.07226157177790576,1.1875
0.1275,0.07297569712076186,1.19125
0.13,0.07370769475673437,1.195
0.1325,0.07445779518809105,1.19875
0.135,0.0752262344379945,1.2025000000000001
0.1375,0.0760132541108239,1.20625
0.14,0.07681910145385497,1.21
0.1425,0.07764402942138925,1.21375
0.145,0.07848829673842284,1.2175
0.1475,0.07935216796723818,1.22125
0.15,0.08023591357178875,1.225
0.1525,0.08113980999931242,1.22875
0.155,0.08206413975857514,1.2325
0.1575,0.08300919147533459,1.23625
0.16,0.08397525996298114,1.24
0.1625,0.08496264630833476,1.24375
0.165,0.08597165792112384,1.2475
0.1675,0.08700260858069889,1.25125
0.17,0.08805581862388104,1.255
0.1725,0.08913161498953218,1.25875
0.175,0.09023033130198162,1.2625
0.1775,0.09135230789806009,1.2662499999999999
0.18,0.09249789204649392,1.27
0.1825,0.09366743778795361,1.27375
0.185,0.09486130599389803,1.2774999999999999
0.1875,0.09607986450345443,1.28125
0.19,0.09732348822969879,1.2850000000000001
0.1925,0.09859255923986417,1.28875
0.195,0.09988746675703793,1.2925
0.1975,0.10120860713650516,1.2962500000000001
0.2,0.10255638416946244,1.0
0.2025,0.10393154578704207,1.00375
0.205,0.10533451980056623,1.0075
0.2075,0.10676574189560614,1.01125
0.21,0.10822565567290333,1.015
0.2125,0.10971471306805143,1.01875
0.215,0.11123337443634836,1.0225
0.2175,0.11278210858123275,1.0262499999999999
0.22,0.11436139291659093,1.03
0.2225,0.11597171341903532,1.03375
0.225,0.11761356492999263,1.0375
0.2275,0.1192874512366243,1.04125
0.23,0.12099388521159307,1.045
0.2325,0.12273338876132994,1.04875
0.235,0.12450649303190961,1.0525
0.2375,0.12631373855727487,1.05625
0.24,0.12815567540252643,1.06
0.2425,0.13003286323728516,1.06375
0.245,0.13194587139895458,1.0675
0.2475,0.13389527905915583,1.07125
0.25,0.13588167531388953,1.075
0.2525,0.13790565929666357,1.0787499999999999
0.255,0.1399678402797505,1.0825
0.2575,0.1420688377996156,1.08625
0.26,0.14420928176508688,1.09
0.2625,0.1463898125699412,1.09375
0.265,0.1486110812100162,1.0975
0.2675,0.1508737493972471,1.10125
0.27,0.15317848967445155,1.105
0.2725,0.15552598553033273,1.1087500000000001
0.275,0.15791693151455746,1.1125
0.2775,0.1603520333525605,1.11625
0.28,0.16283200806000098,1.12
0.2825,0.1653575840567101,1.12375
0.285,0.16792950127994158,1.1275
0.2875,0.17054851129694865,1.1312499999999999
0.29,0.1732153774165377,1.135
0.2925,0.17593087479969757,1.13875
0.295,0.17869579056897938,1.1425
0.2975,0.18151092391654094,1.14625
0.3,0.18437708621074972,1.15
0.3025,0.18729510110115968,1.15375
0.305,0.19026580462171325,1.1575
0.3075,0.1932900452919991,1.16125
0.31,0.19636868421638892,1.165
0.3125,0.19950259518088606,1.16875
0.315,0.20269266474749567,1.1724999999999999
0.3175,0.20593979234592746,1.17625
0.32,0.20924489036242816,1.18
0.3225,0.21260888422553745,1.18375
0.325,0.21603271248855183,1.1875
0.3275,0.21951732690847253,1.19125
0.33,0.22306369252120406,1.195
0.3325,0.22667278771276408,1.19875
0.335,0.23034560428625364,1.2025000000000001
0.3375,0.23408314752432904,1.20625
0.34,0.23788643624690678,1.21
0.3425,0.24175650286382389,1.21375
0.345,0.24569439342216554,1.2175
0.3475,0.24970116764796213,1.22125
0.35,0.2537778989819475,1.2249999999999999
0.3525,0.25792567460905946,1.22875
0.355,0.2621455954813532,1.2325
0.3575,0.26643877633398655,1.23625
0.36,0.2708063456939258,1.24
0.3625,0.2752494458810082,1.24375
0.365,0.27976923300098544,1.2475
0.3675,0.2843668769301624,1.25125
0.37,0.2890435612912306,1.255
0.3725,0.29380048341988496,1.25875
0.375,0.2986388543217995,1.2625
0.3775,0.3035598986195243,1.2662499999999999
0.38,0.30856485448885523,1.27
0.3825,0.3136549735842092,1.27375
0.385,0.31883152095253214,1.2774999999999999
0.3875,0.3240957749352459,1.28125
0.39,0.32944902705773105,1.2850000000000001
0.3925,0.3348925819058273,1.28875
0.395,0.34042775698881816,1.2925
0.3975,0.34605588258835324,1.2962500000000001
0.4,0.3517783015927486,1.3
0.4025,0.35759636931608674,1.30375
0.405,0.3635114533015293,1.3075
0.4075,0.36952493310823475,1.3112499999999998
0.41,0.3756382000812645,1.315
0.4125,0.38185265710384025,1.31875
0.415,0.3881697183313077,1.3225
0.4175,0.39459080890613896,1.32625
0.42,0.4011173646532996,1.33
0.4225,0.4077508317552844,1.33375
0.425,0.414492666406118,1.3375
0.4275,0.4213443344435968,1.34125
0.43,0.4283073109590388,1.345
0.4325,0.4353830798837905,1.34875
0.435,0.44257313355172967,1.3525
0.4375,0.44987897223698803,1.35625
0.44,0.45730210366610324,1.3599999999999999
0.4425,0.46484404250380196,1.36375
0.445,0.47250630981159636,1.3675
0.4475,0.48029043247837355,1.3712499999999999
0.45,0.4881979426221379,1.375
0.4525,0.4962303769620625,1.3787500000000001
0.455,0.5043892761599916,1.3825
0.4575,0.5126761841305306,1.38625
0.46,0.5210926473188479,1.3900000000000001
